codigo,ur_referencia
3A101,101
3A102,101
3A103,101
3B-101,101
3B101,101
3B109,101
DR301A,101
DR301B,101
IND-101,101
3B102,102
3B103,102
3B104,102
3B105,102
3W101,102
DR301,102
DR501,102
IND-102,102
3C101,104
3C102,104
3C103,104
3C104,104
3C105,104
3C107,104
3C109,104
DR202A,104
DR401,104
DR601,104
DR701,104
IND-104,104
3K101,106
3K102,106
3K103,106
3K108,106
3K109,106
3K110,106
3K111,106
3K112,106
3K113,106
3K116,106
3K118,106
3K119,106
IND-106,106
3E108,108
IND-108,108
3A601,109
3A602,109
3A603,109
DR202B,109
DR401A,109
DR601A,109
IND-109,109
3P101,110
3P102,110
3P103,110
IND-110,110
3M101,111
3M102,111
IND-111,111
3T101,112
IND-112,112
3J101,113
3J104,113
3J107,113
3J108,113
3J110,113
3J111,113
3J112,113
DR202,113
IND-113,113
3E101,114
3E102,114
3E103,114
3E104,114
3E105,114
3E106,114
3E107,114
3E110,114
3E111,114
3E113,114
3E114,114
3E115,114
IND-114,114
3F101,117
3F102,117
3F103,117
3F104,117
3F105,117
3F107,117
3F108,117
3F109,117
3F110,117
3F111,117
IND-117,117
3G101,119
3G102,119
IND-119,119
3B106,121
3B409,121
3B410,121
3B411,121
3B412,121
3B413,121
3B414,121
3B415,121
3B416,121
3B417,121
3B418,121
3S102,121
DR701A,121
DR701B,121
IND-121,121
3R102,124
3R103,124
IND-125,125
3A201,126
3A202,126
3H101,128
3H102,128
3H103,128
3H104,128
IND-128,128
3I101,129
3I102,129
3I103,129
3Q101,130
IND-130,130
3U101,131
IND-131,131
3L101,133
IND-133,133
4P101,502
IND-502,502
4K101,511
4K102,511
4K201,512
3B108,520
4I101,526
IND-526,526
3K201,539
3K203,539
3K204,539
3K206,539
3K207,539
3K208,539
3K209,539
3K211,539
4A101,541
4A102,541
4A103,541
3S101,554
IND-554,554
4G102,565
IND-565,565
4H101,582
IND-582,582
4F101,801
