ur,delegacion_codigo
101,3A101
125,3A101
101,3A102
125,3A102
101,3A103
126,3A201
126,3A202
109,3A601
109,3A602
109,3A603
101,3B-101
102,3B-101
101,3B101
102,3B101
102,3B102
102,3B103
102,3B104
102,3B105
121,3B106
520,3B108
101,3B109
102,3B109
121,3B409
121,3B410
121,3B411
121,3B412
121,3B413
121,3B414
121,3B415
121,3B416
121,3B417
121,3B418
104,3C101
104,3C102
104,3C103
104,3C104
104,3C105
104,3C107
104,3C109
114,3E101
114,3E102
114,3E103
114,3E104
114,3E105
114,3E106
114,3E107
108,3E108
114,3E108
114,3E110
114,3E111
114,3E113
114,3E114
114,3E115
117,3F101
117,3F102
117,3F103
117,3F104
117,3F105
117,3F107
117,3F108
117,3F109
117,3F110
117,3F111
119,3G101
119,3G102
128,3H101
128,3H102
128,3H103
128,3H104
129,3I101
129,3I102
129,3I103
113,3J101
113,3J104
113,3J107
113,3J108
113,3J110
113,3J111
113,3J112
106,3K101
106,3K102
106,3K103
106,3K108
106,3K109
106,3K110
106,3K111
106,3K112
106,3K113
106,3K116
106,3K118
106,3K119
539,3K201
539,3K203
539,3K204
539,3K206
539,3K207
539,3K208
539,3K209
539,3K211
133,3L101
111,3M101
111,3M102
110,3P101
110,3P102
110,3P103
130,3Q101
124,3R102
124,3R103
554,3S101
121,3S102
112,3T101
131,3U101
102,3W101
108,3W101
541,4A101
541,4A102
541,4A103
801,4F101
565,4G102
582,4H101
526,4I101
511,4K101
511,4K102
512,4K201
502,4P101
113,DR202
511,DR202
104,DR202A
109,DR202A
109,DR202B
112,DR202B
113,DR202B
102,DR301
104,DR301
109,DR301
511,DR301
101,DR301A
104,DR301A
109,DR301A
101,DR301B
104,DR301B
108,DR301B
109,DR301B
104,DR401
109,DR401
109,DR401A
110,DR401A
541,DR401A
102,DR501
104,DR501
109,DR501
104,DR601
109,DR601A
104,DR701
109,DR701
121,DR701A
121,DR701B
101,IND-101
112,IND-112
125,IND-125
502,IND-502
526,IND-526
565,IND-565
